LAD20CD,LAD20NM,WOODLAND_AREA,AREALHECT,WOODLAND_COVER,Percentage of area
E08000026,Coventry,533.855304,9863.9,0.054122133,5.412213263
E08000027,Dudley,678.553137,9795.84,0.06926952,6.926952022
E08000028,Sandwell,500.35415,8555.89,0.058480667,5.848066654
E08000029,Solihull,1211.137555,17828.21,0.067933772,6.793377209
E08000030,Walsall,701.4025762,10397.34,0.06745981,6.745980955
E08000031,Wolverhampton,270.1764104,6943.65,0.038909854,3.890985439
E08000032,Bradford,2314.790256,36641.98,0.063173176,6.317317611
E08000033,Calderdale,2626.117844,36396.08,0.072153865,7.215386502
E08000034,Kirklees,3574.057413,40855.16,0.087481175,8.748117528
E08000035,Leeds,5421.048044,55170.67,0.098259601,9.825960141
E08000036,Wakefield,2548.90808,33861.98,0.075273451,7.527345065
E08000037,Gateshead,2183.166068,14235.93,0.153356055,15.33560552
E09000001,City of London,2.500886311,288.98,0.008654185,0.865418476
E09000002,Barking and Dagenham,45.2353937,3610.11,0.012530198,1.253019816
E09000003,Barnet,828.226734,8676.67,0.095454447,9.54544467
E09000004,Bexley,469.0552346,6057.86,0.077429197,7.742919688
E09000005,Brent,143.7015694,4323.64,0.033236248,3.323624755
E09000006,Bromley,2220.243576,15013.26,0.147885508,14.78855076
E09000007,Camden,288.4310116,2177.85,0.132438419,13.24384194
E09000008,Croydon,1115.506394,8648.87,0.128977126,12.89771258
E09000009,Ealing,210.3539521,5554.24,0.03787268,3.787267963
E09000010,Enfield,643.8669383,8082.11,0.079665698,7.966569848
E09000011,Greenwich,439.0253463,4731.11,0.092795421,9.279542143
E09000012,Hackney,81.67882965,1904.4,0.042889535,4.288953458
E09000013,Hammersmith and Fulham,47.96891287,1640.34,0.029243274,2.924327448
E09000014,Haringey,262.1218912,2960.6,0.088536746,8.853674634
E09000015,Harrow,425.0157676,5046.44,0.08422091,8.42209097
E09000016,Havering,964.1457276,11234.36,0.085821153,8.582115293
E09000017,Hillingdon,1037.35132,11570.42,0.089655459,8.965545932
E09000018,Hounslow,321.4449207,5596.28,0.057439035,5.743903462
E09000019,Islington,47.1314125,1485.79,0.03172145,3.172144953
E09000020,Kensington and Chelsea,62.92205871,1212.37,0.051900046,5.190004595
E09000021,Kingston upon Thames,195.0448606,3725.93,0.052347967,5.234796698
E09000022,Lambeth,68.15330332,2680.71,0.025423602,2.54236017
E09000023,Lewisham,171.6530308,3514.61,0.048839852,4.883985159
E09000024,Merton,332.3638716,3762.41,0.088338026,8.833802578
E09000025,Newham,69.06673538,3619.6,0.019081317,1.90813171
E09000026,Redbridge,367.124471,5639.74,0.065095992,6.509599218
E09000027,Richmond upon Thames,963.7901934,5739.26,0.167929349,16.79293486
E09000028,Southwark,172.2934849,2887.77,0.05966316,5.966316048
E09000029,Sutton,148.7727905,4384.79,0.033929285,3.392928522
E09000030,Tower Hamlets,79.8328576,1977.1,0.040378766,4.037876567
E09000031,Waltham Forest,398.5567698,3881.02,0.10269382,10.26938201
E09000032,Wandsworth,281.6818393,3426.19,0.082214308,8.221430781
E09000033,Westminster,257.1387467,2148.26,0.119696288,11.96962876
N09000001,Antrim and Newtownabbey,2426,57116.3,0.04247474,4.247474014
N09000002,"Armagh City, Banbridge and Craigavon",5149,133810.86,0.038479687,3.847968693
N09000003,Belfast,779,13771.69,0.056565316,5.656531624
N09000004,Causeway Coast and Glens,23972,198553.46,0.120733227,12.07332272
N09000005,Derry City and Strabane,12029,125124.15,0.096136517,9.613651721
N09000006,Fermanagh and Omagh,38081,286403.19,0.132962904,13.29629045
N09000007,Lisburn and Castlereagh,1801,50578.54,0.035607987,3.56079871
N09000008,Mid and East Antrim,6467,105921.35,0.061054735,6.105473542
N09000009,Mid Ulster,12231,183134.12,0.066787118,6.678711755
N09000010,"Newry, Mourne and Down",11357,168234.08,0.067507131,6.750713054
N09000011,Ards and North Down,2549,56647.32,0.044997716,4.499771569
S12000005,Clackmannanshire,2356.992191,15918.51,0.148066131,14.80661313
S12000006,Dumfries and Galloway,182871.211,642583.21,0.284587596,28.45875961
S12000008,East Ayrshire,27501.75209,126212.79,0.217899882,21.78998823
S12000010,East Lothian,6704.438478,67924.08,0.098704885,9.87048846
S12000011,East Renfrewshire,2373.569783,17424.95,0.136216734,13.62167342
S12000013,Na h-Eileanan Siar,3403.648717,305580.19,0.011138316,1.113831599
